request_id,pickup_node_id,delivery_node_id,pickup_x_km,pickup_y_km,delivery_x_km,delivery_y_km,departure_time_min,service_priority
1,2,3,36.2189079063218,19.09445761434163,42.80631537971691,37.88582025110827,1017,2
2,4,5,48.472774294862674,28.297354679657683,60.0,34.94331369888432,1310,3
3,6,7,42.14396934748416,25.089420693693295,49.10064661111819,29.355553182506306,561,1
4,8,9,20.351269459095846,58.844727328302255,20.766580070656737,60.0,43,2
5,10,11,3.8919924401166583,32.92785866379882,9.001966044777085,36.40630532074191,301,3
6,12,13,4.766523210350373,6.062100342147483,7.1009651053550416,27.294294249668702,680,2
7,14,15,11.290559434794678,16.401515579558293,0.0,15.635899584356569,895,2
8,16,17,22.499893732613955,43.02274498040628,29.613552223644085,39.48272674080026,854,3
9,18,19,47.17876011550686,10.063504064300977,44.75827784503567,14.457320491178617,1389,3
10,20,21,57.89719566501954,53.19159494180096,57.62226203288385,52.057671430552055,223,2
11,22,23,36.93944935974679,35.70880419854796,43.16888342681491,17.610860041281576,920,2
12,24,25,49.36721900388751,0.7073287911747483,59.82384192704981,9.309320373454707,816,2
13,26,27,35.944989927934465,43.82914925049134,44.791317093975096,40.31380373897325,142,2
14,28,29,2.4950234237251445,37.92365573890766,25.287123208242704,37.76084534074024,700,1
15,30,31,14.047274137522553,30.2558948815983,15.75501182303504,25.457215432142352,1313,2
16,32,33,35.17736568898544,42.99396698864915,24.0082111347618,55.524254618778606,1095,3
17,34,35,4.60116112648544,59.85690793552688,13.919881275033028,60.0,1054,3
18,36,37,34.92400609714175,49.690118700757935,34.28256968247411,53.612719688887644,1092,3
19,38,39,15.609744317830735,44.902479769896125,5.901165808587724,50.50437591093875,62,1
20,40,41,51.93238017499839,48.812931868681794,60.0,50.65210697086494,804,2
21,42,43,9.897343148173226,47.24406753009714,0.0,47.57898631018482,580,1
22,44,45,20.065561895670108,6.68490811482658,2.3549808904692995,4.443364029742254,272,3
23,46,47,43.687204068845084,10.052921660611043,50.50638795032787,12.1654678629057,889,1
24,48,49,51.85097553528307,39.95878956411461,48.48461452003492,44.87354852854449,1070,2
25,50,51,5.502294217161521,11.074914186070796,14.781380521131343,23.095941432516298,457,2
26,52,53,22.53929884017063,22.301282809077772,20.610664045932655,27.862037538899767,250,2
27,54,55,0.7056886260573658,56.47278463858317,8.670159403642554,42.21790424199965,918,1
28,56,57,56.293036528547475,21.765942770071632,60.0,26.878755073986017,206,1
29,58,59,42.840512234633806,49.465376493266376,60.0,38.31540986834568,341,3
30,60,61,4.319092304353971,50.64542404019046,0.0,54.5351034292842,638,2
