node_id,node_type,request_id,x_km,y_km
0,start,,25.0,25.0
1,end,,35.0,35.0
2,pickup,1.0,36.2189079063218,19.09445761434163
3,delivery,1.0,42.80631537971691,37.88582025110827
4,pickup,2.0,48.472774294862674,28.297354679657683
5,delivery,2.0,60.0,34.94331369888432
6,pickup,3.0,42.14396934748416,25.089420693693295
7,delivery,3.0,49.10064661111819,29.355553182506306
8,pickup,4.0,20.351269459095846,58.844727328302255
9,delivery,4.0,20.766580070656737,60.0
10,pickup,5.0,3.8919924401166583,32.92785866379882
11,delivery,5.0,9.001966044777085,36.40630532074191
12,pickup,6.0,4.766523210350373,6.062100342147483
13,delivery,6.0,7.1009651053550416,27.294294249668702
14,pickup,7.0,11.290559434794678,16.401515579558293
15,delivery,7.0,0.0,15.635899584356569
16,pickup,8.0,22.499893732613955,43.02274498040628
17,delivery,8.0,29.613552223644085,39.48272674080026
18,pickup,9.0,47.17876011550686,10.063504064300977
19,delivery,9.0,44.75827784503567,14.457320491178617
20,pickup,10.0,57.89719566501954,53.19159494180096
21,delivery,10.0,57.62226203288385,52.057671430552055
22,pickup,11.0,36.93944935974679,35.70880419854796
23,delivery,11.0,43.16888342681491,17.610860041281576
24,pickup,12.0,49.36721900388751,0.7073287911747483
25,delivery,12.0,59.82384192704981,9.309320373454707
26,pickup,13.0,35.944989927934465,43.82914925049134
27,delivery,13.0,44.791317093975096,40.31380373897325
28,pickup,14.0,2.4950234237251445,37.92365573890766
29,delivery,14.0,25.287123208242704,37.76084534074024
30,pickup,15.0,14.047274137522553,30.2558948815983
31,delivery,15.0,15.75501182303504,25.457215432142352
32,pickup,16.0,35.17736568898544,42.99396698864915
33,delivery,16.0,24.0082111347618,55.524254618778606
34,pickup,17.0,4.60116112648544,59.85690793552688
35,delivery,17.0,13.919881275033028,60.0
36,pickup,18.0,34.92400609714175,49.690118700757935
37,delivery,18.0,34.28256968247411,53.612719688887644
38,pickup,19.0,15.609744317830735,44.902479769896125
39,delivery,19.0,5.901165808587724,50.50437591093875
40,pickup,20.0,51.93238017499839,48.812931868681794
41,delivery,20.0,60.0,50.65210697086494
42,pickup,21.0,9.897343148173226,47.24406753009714
43,delivery,21.0,0.0,47.57898631018482
44,pickup,22.0,20.065561895670108,6.68490811482658
45,delivery,22.0,2.3549808904692995,4.443364029742254
46,pickup,23.0,43.687204068845084,10.052921660611043
47,delivery,23.0,50.50638795032787,12.1654678629057
48,pickup,24.0,51.85097553528307,39.95878956411461
49,delivery,24.0,48.48461452003492,44.87354852854449
