vehicle_id,battery_capacity_kWh,max_mileage_km,max_energy_consumption_kWh_per_km,charging_efficiency,initial_battery_kWh,start_node_id,end_node_id
veh_1,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_2,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_3,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_4,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_5,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_6,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_7,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_8,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_9,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
veh_10,30.0,260.0,0.11538461538461539,0.9,30.0,0,1
